seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
284,80000,D,3700,3750,4850,True,37,0.7602,0.0423,6,1208
285,80000,D,3750,4250,5450,True,39,0.7512,0.0389,9,1190
286,80000,D,3800,3850,5400,True,39,0.7859,0.0385,4,1214
287,80000,D,4600,4650,6050,True,39,0.7295,0.0396,5,1205
288,80000,D,3700,3750,5250,True,41,0.6929,0.0429,5,1212
289,80000,D,3750,3800,5000,True,39,0.7480,0.0412,4,1204
290,80000,C,4950,5000,-1,True,36,0.8728,0.0385,3,1195
291,80000,D,4300,4350,6300,True,42,0.6636,0.0422,5,1203
292,80000,D,3900,3950,5200,True,38,0.7857,0.0400,5,1210
293,80000,D,3600,3650,4850,True,37,0.7985,0.0422,5,1204
294,80000,D,3550,35550,35800,True,39,0.7716,0.0428,14,1152
295,80000,C,4800,4850,-1,True,38,0.8292,0.0401,4,1208
296,80000,D,3850,3900,5600,True,41,0.7581,0.0398,4,1210
297,80000,D,3650,3900,4800,True,39,0.7320,0.0426,5,1204
298,80000,D,3650,3700,5150,True,40,0.7492,0.0409,5,1211
299,80000,C,8350,8400,-1,True,40,0.7455,0.0415,3,1221
300,80000,D,4150,4200,5700,True,43,0.5886,0.0417,4,1211
301,80000,D,3600,3650,4800,True,35,0.8874,0.0426,5,1196
302,80000,D,4150,4200,5600,True,40,0.7149,0.0391,6,1209
303,80000,D,3850,3900,5650,True,38,0.7607,0.0414,4,1207
304,80000,C,5200,5250,-1,True,38,0.8150,0.0422,3,1214
305,80000,C,4400,4450,-1,True,41,0.6814,0.0416,3,1205
306,80000,D,4350,4400,5800,True,40,0.7139,0.0415,5,1208
307,80000,D,3800,4300,5400,True,38,0.8373,0.0427,7,1214
308,80000,B,3450,-1,-1,True,22,0.0000,0.1291,29,1053
309,80000,D,4150,4200,5550,True,40,0.7742,0.0425,4,1215
310,80000,D,3750,3800,5500,True,37,0.8134,0.0402,4,1205
311,80000,D,4200,4250,7550,True,37,0.8771,0.0418,5,1211
312,80000,D,4250,4300,5350,True,39,0.7770,0.0388,6,1214
313,80000,D,3750,4150,5250,True,40,0.7189,0.0417,6,1204
314,80000,C,4300,4350,-1,True,39,0.7625,0.0454,3,1199
315,80000,D,4250,4300,5850,True,42,0.6142,0.0398,5,1206
316,80000,D,4800,4850,6250,True,40,0.7563,0.0419,4,1212
317,80000,D,3600,3850,4750,True,40,0.6980,0.0413,6,1202
318,80000,C,4800,4850,-1,True,37,0.8160,0.0388,3,1199
319,80000,C,4850,4900,-1,True,39,0.7700,0.0391,3,1211
320,80000,C,4800,4850,-1,True,41,0.6926,0.0439,4,1215
321,80000,D,4350,4400,5950,True,40,0.7174,0.0394,4,1202
322,80000,C,5350,5400,-1,True,39,0.7962,0.0395,3,1217
323,80000,C,5400,5450,-1,True,42,0.6930,0.0413,4,1216
324,80000,D,3750,3800,5150,True,40,0.7096,0.0399,6,1217
325,80000,D,5000,5050,35150,True,39,0.7818,0.0404,4,1221
326,80000,D,4850,4900,6200,True,42,0.6159,0.0420,4,1204
327,80000,D,3800,3850,5450,True,36,0.8615,0.0411,4,1201
328,80000,D,3850,3900,5150,True,39,0.6776,0.0393,7,1198
329,80000,D,3850,3900,5200,True,38,0.8120,0.0405,5,1213
330,80000,C,4550,4600,-1,True,39,0.7582,0.0401,3,1204
331,80000,D,3600,4000,5200,True,39,0.7773,0.0416,5,1202
332,80000,D,4350,4400,5750,True,36,0.9199,0.0411,7,1209
333,80000,C,5350,5400,-1,True,46,0.6298,0.0394,3,1216
334,80000,D,3700,3750,5000,True,40,0.6992,0.0426,5,1215
335,80000,D,3700,3750,5750,True,43,0.6692,0.0443,5,1213
336,80000,D,3900,4150,5250,True,36,0.7965,0.0408,6,1210
337,80000,D,4050,4100,5500,True,41,0.6904,0.0415,4,1216
338,80000,C,5300,5350,-1,True,37,0.8652,0.0403,4,1202
339,80000,C,5250,5300,-1,True,36,0.8785,0.0414,3,1203
340,80000,D,4300,4350,5950,True,40,0.7237,0.0401,5,1206
341,80000,D,4650,4700,6250,True,41,0.7212,0.0408,5,1206
342,80000,D,3950,4000,6250,True,36,0.9048,0.0429,4,1218
343,80000,B,3600,-1,-1,True,20,0.0000,0.2191,14,1051
344,80000,D,4250,4300,5900,True,41,0.7731,0.0406,5,1223
345,80000,D,3700,3750,5250,True,41,0.6645,0.0410,5,1208
346,80000,D,4700,4750,12000,True,41,0.6726,0.0419,5,1200
347,80000,D,5150,5200,30450,True,42,0.6319,0.0440,4,1223
